text,label
"Action Required: Your corporate VPN certificate has expired. Download the updated client patch Wire_Update.scr from the link to regain access.",1
"Hi Sarah, following up on our discussion yesterday regarding the cloud infrastructure migration timeline. Let me know when you have time for a quick call.",0
"URGENT NOTICE FROM DIRECTOR GENERAL: Statutory compliance audit violation detected. Immediate remittance to designated escrow account required.",1
"The weekly threat intelligence digest from the internal SOC has been published. Zero critical vulnerabilities were identified in our perimeter this week.",0
"Your PayPal account has been temporarily restricted due to unusual activity. Verify your identity by submitting passport copy and debit card details.",1
"Reminder: All engineering staff are encouraged to complete the annual cybersecurity awareness refresher module before the end of the quarter.",0
"Dear Vendor, your invoice payment remittance has been redirected. Update beneficiary banking details using the attached remittance form immediately.",1
"Hi team, the deployment to the staging environment was successful. QA testing will commence tomorrow morning at 9 AM.",0
"IRS / Income Tax Department Notice: You are eligible for a tax refund of INR 48,200. Claim your refund instantly at http://incometax-refund-in.cc",1
"Please find attached the minutes from yesterday's product design review. Action items have been assigned in Jira.",0
"Attention Employee: Your annual bonus calculation statement is available. View the encrypted statement by enabling macros in the attached spreadsheet.",1
"The IT department will be applying scheduled security patches to the internal database cluster on Sunday between 2 AM and 4 AM UTC.",0
"Your Apple ID has been locked for security reasons. To unlock your account, sign in immediately at http://appleid-security-verify.live",1
"Thank you for attending today's webinar on modern cloud-native architectures. The recording and slide deck are now accessible on our knowledge base.",0
"ALERT: Unauthorized device login detected on your Google Workspace account. Click here to revoke access and reset your master corporate password.",1
"Hi David, could you please share the latest draft of the technical specification document for the authentication service when convenient?",0
"URGENT WIRE: Controller approval bypassed per executive order. Execute remittance of $850,000 to vendor account prior to close of business today.",1
"The office will be closed next Monday in observance of the national holiday. Standard on-call support rotations will remain active.",0
"Immediate Action Required: Your Netflix subscription payment failed. Update your credit card details immediately to avoid streaming cancellation.",1
"Please welcome our new senior DevOps engineer who joined the infrastructure platform team today. Feel free to say hello on Slack!",0
"Urgent invoice payment request attached: Remittance_Invoice_3092.pdf.exe. Verify payment receipt and execute batch settlement without delay.",1
"The quarterly bug bash will take place next Wednesday. Prizes will be awarded for the most critical security finding and best documentation fix.",0
"DocuSign Emergency: Critical NDA document pending signature from chief legal officer. Review and sign at http://secure-docusign-legal.top",1
"Attached is the vendor evaluation matrix comparing cloud observability tools based on latency, pricing, and compliance certifications.",0
"Your Office 365 password will expire in 24 hours. Keep your current password by verifying your account credentials at the link below.",1
"Hi team, just a reminder to submit all business travel expense reports by Friday afternoon for processing in this month's payroll cycle.",0
"WARNING: Wire authorization transfer error on account #4019284. Confirm beneficiary coordinates immediately or funds will be seized.",1
"Please review the attached release notes for version 2.4 of the customer dashboard. Rollout is scheduled for next Tuesday evening.",0
"Internal Revenue Advisory: Statutory penalty of INR 10,000 applied. Settle statutory dues immediately at http://gov-tax-compliance.online",1
"The weekly automated security vulnerability scan completed with zero high or critical vulnerabilities detected across all public endpoints.",0
"Bank Alert: Suspicious transaction of INR 1,25,000 detected on your corporate card. Call immediately or confirm cancellation via link.",1
"Hi team, the customer support ticket backlog has been reduced by 40 percent this month thanks to the automated triage system.",0
"ATTENTION: Executive order requires immediate execution of urgent escrow wire before 4 PM today. Private channel authorized.",1
"Please find attached the draft slides for the upcoming investor presentation. Let me know your thoughts on slide 7 regarding revenue projections.",0
"Your DHL express package could not be delivered due to incomplete address. Download the shipping receipt to reschedule delivery: http://dhl-track.top",1
"The engineering team successfully migrated the caching layer to Redis cluster with zero downtime and improved response latency by 35ms.",0
"URGENT: Microsoft Authenticator notification failure. Re-register your phone number and 2FA credentials at http://mfa-security-reset.me",1
"Good morning, here is the weekly summary of user signups and conversion metrics. Organic traffic increased by 18 percent week over week.",0
"Critical Malware Alert: Trojan dropper detected in your network segment. Download and run the removal executable attached to clean your PC.",1
"Please review the updated open source contribution guidelines before submitting pull requests to the public repositories.",0
"Immediate response required: CFO directive to authorize emergency supplier wire remittance of INR 85,00,000. Statutory bypass applied.",1
"The internal design system components have been updated to support high-contrast mode and improved accessibility for screen readers.",0
"Your Zoom meeting link has been updated. Join the secure executive briefing room by entering your SSO credentials at http://zoom-sso-portal.cc",1
"Hi team, our sprint retrospective is scheduled for Friday at 4 PM. Please add your discussion topics to the retro board before the meeting.",0
"URGENT BANK NOTIFICATION: Your SBI corporate account has been suspended due to KYC non-compliance. Update PAN card at http://sbi-kyc-verify.online",1
"The documentation for the external REST API has been published with interactive code examples and request/response schemas.",0
"Notice of immediate wire payment batch release. Verify recipient routing numbers in attached Wire_Directive.pdf.exe immediately.",1
"Please find attached the vendor contract renewal agreement for our cloud monitoring software. Legal has approved the terms.",0
"FINAL CALL: Re-authenticate your Okta identity token within 15 minutes to prevent enterprise single sign-on lock out.",1
"The annual employee satisfaction survey is now live. Your feedback is completely anonymous and helps shape workplace policies.",0
"Urgent wire remittance memo: Transfer of funds to overseas supplier authorized under emergency procurement guidelines. Expedite wire.",1
"Hi everyone, the scheduled maintenance on the internal staging cluster has completed successfully. All services are fully operational.",0
"Your FedEx shipment #849204928 is awaiting customs clearance. Settle duty fees immediately at http://fedex-customs-clearance.cc",1
"Please review the candidate interview schedule for the frontend developer position tomorrow afternoon. Resumes are attached.",0
"CRITICAL: Unrecognized sign-in from Lagos, Nigeria. Secure your account immediately by verifying password and two-factor code.",1
"Attached is the summary report from our annual SOC 2 Type II compliance audit with zero exceptions noted by the external auditors.",0
"Executive directive: Mandatory wire remittance transfer of INR 50 lakhs to vendor account. Second-signatory review waived.",1
"Hi team, please remember to update your project progress in Jira before the end of the sprint so we have accurate burndown metrics.",0
"WARNING: Malicious activity detected originating from your workstation IP. Run the attached antivirus update script immediately.",1
